Domain,Subdomain,Scenario,Definition,Elements,Relations
Cultural,Arts and Creative Practices,Performance Arts and Live Expression,"In this scenario, a #Performer creates #LivePerformances through #PerformanceSkills and #ExpressiveMovement, engaging #Audiences in #PerformativeExperiences. The performer uses #BodyExpression, #VocalTechniques, and #StagePresence to create #ImmediateConnection and #SharedAestheticMoments with spectators.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans use live performance to create immediate, embodied aesthetic experiences that connect performers and audiences through shared presence
- **Principle 2:** Universal: performance recognition, audience engagement; Cultural: specific performance traditions, audience-performer relationships
- **Principle 3:** Connects to Temporal domain (real-time experience), Social domain (performer-audience interaction), Biological domain (embodied expression)","- **Performer** (Entity): Person creating live artistic expression for audiences - **LivePerformances** (Process): Real-time artistic presentations involving direct audience engagement - **PerformanceSkills** (Entity): Abilities required for effective live artistic presentation - **ExpressiveMovement** (Process): Bodily movements conveying artistic meaning - **Audiences** (Entity): People experiencing and responding to live performances - **PerformativeExperiences** (Process): Shared encounters between performers and audiences - **BodyExpression** (Process): Physical communication of artistic content - **VocalTechniques** (Process): Use of voice for artistic expression - **StagePresence** (Quality): Commanding attention and engagement during performance - **ImmediateConnection** (Relation): Direct, real-time bond between performer and audience - **SharedAestheticMoments** (Entity): Collective experiences of artistic beauty or meaning",
Cultural,Arts and Creative Practices,Craft Traditions and Material Arts,"In this scenario, a #Craftsperson practices #TraditionalCrafts using #CraftingTechniques and #MaterialSkills to create #HandmadeObjects with #FunctionalPurposes and #AestheticQualities. The craftsperson works with #TraditionalMaterials and follows #CraftingTraditions while developing #ArtisanalExpertise.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans develop specialized skills for transforming materials into functional and beautiful objects through traditional craft knowledge
- **Principle 2:** Universal: tool use, material manipulation; Cultural: specific craft traditions, aesthetic standards, cultural designs
- **Principle 3:** Connects to Physical domain (material manipulation), Cultural domain (traditional knowledge), Economic domain (skilled production)",- **Craftsperson** (Entity): Person skilled in traditional material arts and crafting - **TraditionalCrafts** (Entity): Established practices for creating objects through skilled handiwork - **CraftingTechniques** (Process): Specific methods for working with materials - **MaterialSkills** (Entity): Abilities to manipulate and transform raw materials - **HandmadeObjects** (Entity): Items created through direct manual crafting - **FunctionalPurposes** (Entity): Practical uses served by crafted objects - **AestheticQualities** (Quality): Beautiful or artistic characteristics of crafted items - **TraditionalMaterials** (Entity): Culturally established substances used in crafting - **CraftingTraditions** (Entity): Inherited knowledge and practices for specific crafts - **ArtisanalExpertise** (Quality): High-level skill developed through craft practice,
Cultural,Beliefs and Worldviews,Belief System Formation and Worldview Development,"In this scenario, a #BeliefHolder develops #PersonalBeliefs and #WorldviewFrameworks through #BeliefFormation processes, integrating #CulturalTeachings, #PersonalExperiences, and #InheritedTraditions. The holder constructs #MeaningMakingSystems and #ExplanatoryFrameworks that guide understanding of reality and existence.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans construct comprehensive belief systems that provide meaning and explanatory frameworks for understanding reality and existence
- **Principle 2:** Universal: meaning-making needs, causal explanation seeking; Cultural: specific belief content, worldview traditions
- **Principle 3:** Connects to Cognitive domain (knowledge systems), Social domain (shared beliefs), Psychological domain (meaning needs)","- **BeliefHolder** (Entity): Person developing and maintaining belief systems and worldviews - **PersonalBeliefs** (Entity): Individual convictions about reality, truth, and meaning - **WorldviewFrameworks** (Entity): Comprehensive interpretive systems for understanding existence - **BeliefFormation** (Process): Development of convictions and worldview perspectives - **CulturalTeachings** (Entity): Transmitted knowledge and beliefs from cultural traditions - **PersonalExperiences** (Entity): Individual encounters that shape belief development - **InheritedTraditions** (Entity): Beliefs and practices passed down through generations - **MeaningMakingSystems** (Entity): Cognitive frameworks for interpreting life experiences - **ExplanatoryFrameworks** (Entity): Systems for understanding causation and purpose",
Cultural,Beliefs and Worldviews,Religious and Spiritual Perspectives,"In this scenario, a #SpiritualSeeker explores #ReligiousBeliefs and #SpiritualPractices, engaging with #SacredTraditions and #DivineConcepts. The seeker participates in #WorshipActivities and #SpiritualRituals while developing #FaithCommitments and understanding #SacredMeanings that transcend material existence.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans develop beliefs about transcendent reality and sacred dimensions that provide spiritual meaning beyond material existence
- **Principle 2:** Universal: sacred/profane distinctions, transcendence concepts; Cultural: specific religious traditions, spiritual practices
- **Principle 3:** Connects to Ritual domain (ceremonial practices), Social domain (religious communities), Moral domain (sacred values)","- **SpiritualSeeker** (Entity): Person exploring religious and spiritual dimensions of existence - **ReligiousBeliefs** (Entity): Convictions about divine, sacred, or transcendent reality - **SpiritualPractices** (Process): Activities directed toward spiritual development or connection - **SacredTraditions** (Entity): Established religious teachings and practices - **DivineConcepts** (Entity): Ideas about gods, ultimate reality, or transcendent forces - **WorshipActivities** (Process): Practices expressing reverence for sacred reality - **SpiritualRituals** (Process): Ceremonial actions connecting to transcendent dimensions - **FaithCommitments** (Entity): Deep convictions about spiritual truth and meaning - **SacredMeanings** (Entity): Interpretations of existence involving transcendent significance",
Cultural,Beliefs and Worldviews,Philosophical Orientations and Value Systems,"In this scenario, a #PhilosophicalThinker develops #PhilosophicalPositions and #ValueSystems through #ReflectiveThinking, examining #FundamentalQuestions about existence, knowledge, and ethics. The thinker constructs #EthicalFrameworks and #KnowledgeTheories that guide #LifeChoices and #MoralDecisions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans engage in philosophical reflection to develop systematic positions on fundamental questions about reality, knowledge, and values
- **Principle 2:** Universal: philosophical questioning, value reflection; Cultural: specific philosophical traditions, ethical systems
- **Principle 3:** Connects to Cognitive domain (reflective thinking), Moral domain (ethical systems), Knowledge domain (epistemology)","- **PhilosophicalThinker** (Entity): Person engaging in systematic reflection on fundamental questions - **PhilosophicalPositions** (Entity): Systematic stances on questions about reality, knowledge, and value - **ValueSystems** (Entity): Organized priorities and principles guiding life choices - **ReflectiveThinking** (Process): Systematic consideration of fundamental questions and assumptions - **FundamentalQuestions** (Entity): Basic inquiries about existence, knowledge, truth, and meaning - **EthicalFrameworks** (Entity): Systematic approaches to determining right and wrong - **KnowledgeTheories** (Entity): Positions on the nature and sources of valid knowledge - **LifeChoices** (Entity): Major decisions about how to live and what to pursue - **MoralDecisions** (Entity): Choices involving ethical evaluation and value commitments",
Cultural,Cultural Narratives and Memory,Storytelling and Oral Traditions,"In this scenario, a #Storyteller shares #CulturalStories and #OralNarratives with #CommunityAudiences, transmitting #CollectiveMemories and #CulturalWisdom through #NarrativePerformances. The storyteller uses #StorytellingTechniques to preserve #CulturalKnowledge and maintain #NarrativeTraditions across generations.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans preserve and transmit cultural knowledge through narrative structures that encode collective memory and wisdom
- **Principle 2:** Universal: story structure, narrative memory; Cultural: specific story content, storytelling traditions
- **Principle 3:** Connects to Representational domain (narrative communication), Social domain (community transmission), Temporal domain (memory across time)",- **Storyteller** (Entity): Person responsible for preserving and sharing cultural narratives - **CulturalStories** (Entity): Narratives carrying cultural meaning and significance - **OralNarratives** (Entity): Spoken stories transmitted through verbal tradition - **CommunityAudiences** (Entity): Groups who receive and learn from cultural stories - **CollectiveMemories** (Entity): Shared recollections of cultural significance - **CulturalWisdom** (Entity): Traditional knowledge embedded in narrative form - **NarrativePerformances** (Process): Enacted presentations of cultural stories - **StorytellingTechniques** (Process): Methods for effective narrative presentation - **CulturalKnowledge** (Entity): Understanding transmitted through stories - **NarrativeTraditions** (Entity): Established patterns of cultural storytelling,
Cultural,Cultural Narratives and Memory,Historical Memory and Community Identity,"In this scenario, a #CommunityHistorian documents and preserves #HistoricalEvents and #CommunityExperiences, creating #HistoricalNarratives that shape #GroupIdentity and #CulturalSelfUnderstanding. The historian manages #MemoryPreservation and facilitates #IdentityFormation through #HistoricalInterpretation.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans construct group identity through shared historical narratives that interpret past events as meaningful for present community understanding
- **Principle 2:** Universal: historical thinking, group memory; Cultural: specific historical narratives, identity constructions
- **Principle 3:** Connects to Social domain (group identity), Temporal domain (past-present connections), Cognitive domain (interpretation and meaning-making)",- **CommunityHistorian** (Entity): Person responsible for preserving and interpreting community history - **HistoricalEvents** (Entity): Past occurrences significant for community identity - **CommunityExperiences** (Entity): Shared encounters that shape group understanding - **HistoricalNarratives** (Entity): Structured accounts of past events and their significance - **GroupIdentity** (Entity): Collective sense of who the community is based on shared history - **CulturalSelfUnderstanding** (Entity): Community's comprehension of its own nature and purpose - **MemoryPreservation** (Process): Activities that maintain historical knowledge - **IdentityFormation** (Process): Development of collective self-understanding - **HistoricalInterpretation** (Process): Making meaning from past events and experiences,
Cultural,Cultural Narratives and Memory,Mythological and Legendary Narratives,"In this scenario, a #MythKeeper preserves #MythologicalStories and #LegendaryTales that explain #Origins, #CosmicOrder, and #FundamentalTruths. The keeper transmits #SymbolicNarratives and #ArchetypalStories that provide #ExistentialMeaning and #CulturalExplanations for life's mysteries.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans create and preserve mythological narratives that explain fundamental questions about existence, origins, and cosmic order
- **Principle 2:** Universal: origin stories, archetypal patterns; Cultural: specific mythological content, legendary figures
- **Principle 3:** Connects to Belief domain (cosmological understanding), Symbolic domain (archetypal meaning), Temporal domain (primordial time)",- **MythKeeper** (Entity): Person responsible for preserving and transmitting mythological knowledge - **MythologicalStories** (Entity): Sacred or foundational narratives explaining fundamental realities - **LegendaryTales** (Entity): Stories of heroic or significant figures and events - **Origins** (Entity): Accounts of how things came to be - **CosmicOrder** (Entity): Understanding of universal structure and meaning - **FundamentalTruths** (Entity): Basic principles about reality revealed through narrative - **SymbolicNarratives** (Entity): Stories carrying deeper metaphorical meaning - **ArchetypalStories** (Entity): Universal narrative patterns found across cultures - **ExistentialMeaning** (Entity): Understanding of life's purpose and significance - **CulturalExplanations** (Entity): Culturally specific interpretations of universal mysteries,
Cultural,Heritage and Identity,Cultural Inheritance and Ancestral Connections,"In this scenario, a #HeritageBearer maintains connections to #AncestralTraditions and #CulturalHeritage through #InheritancePractices and #AncestralHonoring. The bearer preserves #FamilyLegacies and #GenerationalKnowledge while fostering #CulturalContinuity and #IdentityConnection to ancestral roots.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans maintain identity through connections to ancestral heritage and inherited cultural traditions that link present to past
- **Principle 2:** Universal: ancestor reverence, inheritance concepts; Cultural: specific heritage practices, ancestral traditions
- **Principle 3:** Connects to Temporal domain (generational continuity), Social domain (family connections), Spiritual domain (ancestral reverence)","- **HeritageBearer** (Entity): Person maintaining and transmitting cultural inheritance - **AncestralTraditions** (Entity): Practices and knowledge inherited from previous generations - **CulturalHeritage** (Entity): Inherited cultural assets, knowledge, and practices - **InheritancePractices** (Process): Activities that preserve and transmit cultural inheritance - **AncestralHonoring** (Process): Practices that show respect and connection to ancestors - **FamilyLegacies** (Entity): Inherited traditions and knowledge specific to family lines - **GenerationalKnowledge** (Entity): Wisdom and understanding passed down through generations - **CulturalContinuity** (Quality): Maintenance of cultural traditions across time - **IdentityConnection** (Relation): Link between personal identity and ancestral heritage",
Cultural,Heritage and Identity,Cultural Symbols and Identity Markers,"In this scenario, an #IdentityExpress displays #CulturalSymbols and #IdentityMarkers through #CulturalExpression and #SymbolicDisplay. The expresser uses #TraditionalClothing, #CulturalArtifacts, and #SymbolicObjects to communicate #GroupBelonging and #CulturalAffiliation to others.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans communicate cultural identity through visible symbols and markers that signal group membership and cultural affiliation
- **Principle 2:** Universal: symbol recognition, group marking; Cultural: specific symbols, clothing traditions, identity markers
- **Principle 3:** Connects to Social domain (group membership), Representational domain (symbolic communication), Material domain (cultural objects)","- **IdentityExpress** (Entity): Person displaying cultural identity through symbols and markers - **CulturalSymbols** (Entity): Objects, designs, or elements representing cultural meaning - **IdentityMarkers** (Entity): Visible signs that communicate cultural belonging - **CulturalExpression** (Process): Active display of cultural identity and affiliation - **SymbolicDisplay** (Process): Presentation of symbols to communicate cultural meaning - **TraditionalClothing** (Entity): Garments characteristic of specific cultural groups - **CulturalArtifacts** (Entity): Objects with cultural significance and meaning - **SymbolicObjects** (Entity): Items that represent cultural values or identity - **GroupBelonging** (State): Sense of membership in cultural communities - **CulturalAffiliation** (Relation): Connection to specific cultural groups or traditions",
Cultural,Heritage and Identity,Cultural Preservation and Revival,"In this scenario, a #CulturalPreserver works to maintain #EndangeredTraditions and promote #CulturalRevival through #PreservationEfforts and #RevitalizationPrograms. The preserver engages in #DocumentationActivities, #EducationalOutreach, and #CommunityMobilization to ensure #CulturalSurvival and #TraditionRenewal.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize cultural traditions as valuable heritage requiring active preservation efforts to prevent loss and enable revival
- **Principle 2:** Universal: preservation instincts, cultural value recognition; Cultural: specific preservation methods, revival approaches
- **Principle 3:** Connects to Temporal domain (tradition continuity), Social domain (community mobilization), Educational domain (knowledge transmission)",- **CulturalPreserver** (Entity): Person dedicated to maintaining and reviving cultural traditions - **EndangeredTraditions** (Entity): Cultural practices at risk of being lost or forgotten - **CulturalRevival** (Process): Restoration and renewal of dormant or declining traditions - **PreservationEfforts** (Process): Activities aimed at maintaining cultural traditions - **RevitalizationPrograms** (Process): Organized initiatives to restore cultural practices - **DocumentationActivities** (Process): Recording and cataloging cultural knowledge and practices - **EducationalOutreach** (Process): Teaching cultural traditions to new generations - **CommunityMobilization** (Process): Organizing community support for cultural preservation - **CulturalSurvival** (State): Continued existence of cultural traditions and practices - **TraditionRenewal** (Process): Revitalization of cultural practices for contemporary relevance,
Cultural,Rituals and Traditions,Ceremonial Practices and Ritual Performance,"In this scenario, #RitualParticipants engage in #CeremonialActivities and #RitualPerformances, following #RitualProtocols and using #CeremonialObjects to mark #SignificantEvents and #LifeTransitions. The participants understand #SymbolicMeanings and #RitualPurposes that connect communities to shared traditions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans use ceremonial activities with symbolic meaning to mark important events and maintain connection to cultural traditions
- **Principle 2:** Universal: ceremony concepts, life transition marking; Cultural: specific ritual forms, ceremonial traditions
- **Principle 3:** Connects to Social domain (community practices), Temporal domain (event marking), Symbolic domain (meaning representation)",- **RitualParticipants** (Entity): People engaging in ceremonial and traditional practices - **CeremonialActivities** (Process): Formal activities with symbolic and cultural significance - **RitualPerformances** (Process): Enacted traditions following established patterns - **RitualProtocols** (Entity): Formal procedures governing ceremonial activities - **CeremonialObjects** (Entity): Special items used in ritual and ceremonial contexts - **SignificantEvents** (Entity): Important occurrences marked by ceremonial activity - **LifeTransitions** (Process): Major changes in life status marked by ritual - **SymbolicMeanings** (Entity): Cultural significance represented through ceremonial actions - **RitualPurposes** (Entity): Intended functions and goals of ceremonial practices,
Cultural,Rituals and Traditions,Traditional Customs and Cultural Practices,"In this scenario, a #TraditionKeeper maintains #CulturalCustoms and #TraditionalPractices, transmitting #CulturalKnowledge through #CustomObservance and #TraditionTransmission. The keeper ensures #CulturalContinuity by teaching #PracticePatterns and preserving #CulturalLegacy for future generations.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans preserve cultural knowledge through repeated traditional practices that maintain cultural continuity across generations
- **Principle 2:** Universal: tradition transmission, cultural preservation; Cultural: specific custom content, transmission methods
- **Principle 3:** Connects to Temporal domain (continuity across time), Social domain (community practices), Knowledge domain (cultural learning)",- **TraditionKeeper** (Entity): Person responsible for maintaining and transmitting cultural traditions - **CulturalCustoms** (Entity): Established practices characteristic of cultural groups - **TraditionalPractices** (Process): Repeated activities that embody cultural knowledge - **CulturalKnowledge** (Entity): Understanding and skills embedded in traditional practices - **CustomObservance** (Process): Following established cultural practices - **TraditionTransmission** (Process): Passing cultural practices to new generations - **CulturalContinuity** (Quality): Maintenance of cultural practices across time - **PracticePatterns** (State): Established ways of performing traditional activities - **CulturalLegacy** (Entity): Inherited traditions passed down through generations,
Cultural,Rituals and Traditions,Seasonal and Cyclical Celebrations,"In this scenario, a #CelebrationOrganizer coordinates #SeasonalFestivals and #CyclicalCelebrations that align with #NaturalCycles and #CulturalCalendars. The organizer manages #FestiveActivities and #CommunityGatherings that strengthen #SocialBonds and mark #TemporalRhythms of cultural life.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans organize cyclical celebrations that align cultural activity with natural and temporal rhythms, strengthening community bonds
- **Principle 2:** Universal: seasonal celebration, cyclical time marking; Cultural: specific festival traditions, celebratory customs
- **Principle 3:** Connects to Temporal domain (cyclical time), Natural domain (seasonal rhythms), Social domain (community bonding)","- **CelebrationOrganizer** (Entity): Person coordinating seasonal and cyclical cultural celebrations - **SeasonalFestivals** (Entity): Celebrations aligned with natural seasonal changes - **CyclicalCelebrations** (Entity): Recurring festivities marking temporal cycles - **NaturalCycles** (Entity): Environmental rhythms like seasons, moon phases, agricultural cycles - **CulturalCalendars** (Entity): Systems for organizing celebration timing - **FestiveActivities** (Process): Special activities characteristic of celebratory periods - **CommunityGatherings** (Entity): Social events bringing people together for celebration - **SocialBonds** (Relation): Connections strengthened through shared celebratory experiences - **TemporalRhythms** (State): Regular time patterns marked by cultural celebrations",
Moral,Conventions and Ethical Norms and Principles,Social Convention Recognition and Compliance,"In this scenario, a #SocialActor encounters #SocialSituations governed by #SocialConventions and must demonstrate #ConventionRecognition to select appropriate #BehavioralChoices. The actor considers #SocialExpectations, #ContextualNorms, and potential #SocialConsequences to achieve #SocialAcceptability.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize situations as governed by implicit rules and adjust behavior accordingly
- **Principle 2:** Universal: convention-following tendency, social norm sensitivity; Cultural: specific conventions, violation consequences
- **Principle 3:** Connects to Social domain (group behavior), Cultural domain (traditional practices), Cognitive domain (rule recognition)",- **SocialActor** (Entity): Person navigating socially regulated situations - **SocialSituations** (Entity): Contexts with established behavioral expectations - **SocialConventions** (Entity): Implicit rules governing appropriate social behavior - **ConventionRecognition** (Event/Process): Identifying relevant social rules in situations - **BehavioralChoices** (Entity): Available actions in social contexts - **SocialExpectations** (Entity): Anticipated behaviors from others in the situation - **ContextualNorms** (Entity): Situation-specific behavioral standards - **SocialConsequences** (Entity): Results of conforming to or violating conventions - **SocialAcceptability** (Quality): Degree to which behavior meets social standards,
Moral,Conventions and Ethical Norms and Principles,Ethical Principle Application and Moral Reasoning,"In this scenario, a #MoralAgent faces #EthicalDilemmas requiring application of #MoralPrinciples through #EthicalReasoning. The agent weighs #CompetingValues, considers #MoralObligations, and evaluates potential #EthicalOutcomes to make #MoralDecisions guided by #EthicalFrameworks.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans apply abstract moral principles to concrete situations through deliberative reasoning
- **Principle 2:** Universal: justice, harm prevention, fairness concepts; Cultural: priority rankings of moral concerns, ethical systems
- **Principle 3:** Connects to Cognitive domain (reasoning, decision-making), Social domain (impact on others), Cultural domain (value systems)","- **MoralAgent** (Entity): Person making decisions based on ethical considerations - **EthicalDilemmas** (Entity): Situations requiring moral choice between competing goods - **MoralPrinciples** (Entity): Abstract ethical guidelines like justice, autonomy, beneficence - **EthicalReasoning** (Event/Process): Deliberative application of moral principles - **CompetingValues** (Entity): Conflicting moral considerations in ethical dilemmas - **MoralObligations** (Entity): Duties or responsibilities based on ethical principles - **EthicalOutcomes** (Entity): Predicted consequences of moral decisions - **MoralDecisions** (Entity): Choices made based on ethical reasoning - **EthicalFrameworks** (Entity): Systematic approaches to moral reasoning",
Moral,Conventions and Ethical Norms and Principles,Norm Violation and Moral Evaluation,"In this scenario, an #Observer witnesses #NormViolations where actors breach #EstablishedNorms. The observer engages in #MoralEvaluation, considering #ViolationSeverity, #IntentionalityFactors, and #CircumstantialContext to form #MoralJudgments that may lead to #SocialSanctions or #ForgivenessResponses.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans evaluate norm violations by considering intentions, circumstances, and severity levels
- **Principle 2:** Universal: blame attribution, proportionality concepts; Cultural: specific sanctioning practices, forgiveness traditions
- **Principle 3:** Connects to Social domain (sanctioning behavior), Psychological domain (judgment processes), Cultural domain (justice systems)",- **Observer** (Entity): Person evaluating others' norm-violating behavior - **NormViolations** (Entity): Actions that breach established social or moral standards - **EstablishedNorms** (Entity): Accepted standards of behavior in social groups - **MoralEvaluation** (Event/Process): Assessment of the moral status of actions - **ViolationSeverity** (Quality): Degree of harm or rule-breaking in violations - **IntentionalityFactors** (Entity): Considerations of whether violations were deliberate - **CircumstantialContext** (Entity): Situational factors affecting moral evaluation - **MoralJudgments** (Entity): Conclusions about moral responsibility and blame - **SocialSanctions** (Entity): Negative responses to norm violations - **ForgivenessResponses** (Entity): Accepting or excusing norm violations,
Moral,Moral Emotions and Responses,Moral Self-Assessment and Conscience Responses,"In this scenario, a #MoralAgent experiences #MoralEmotions and #ConscienceResponses to their own actions, feeling #MoralGuilt, #MoralPride, or #MoralShame based on #SelfEvaluation. The agent engages in #MoralReflection and #ConscienceListening to guide #MoralBehavior and achieve #MoralAlignment with values.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans experience internal moral emotions that provide feedback about the ethical quality of their actions and motivate moral behavior
- **Principle 2:** Universal: guilt, pride, shame as moral emotions; Cultural: specific moral emotion norms, conscience expression
- **Principle 3:** Connects to Psychological domain (emotional experience), Cognitive domain (self-evaluation), Behavioral domain (action guidance)",- **MoralAgent** (Entity): Person experiencing and responding to their own moral emotions - **MoralEmotions** (Entity): Feelings specifically related to moral evaluation and behavior - **ConscienceResponses** (Process): Internal moral feedback about actions and intentions - **MoralGuilt** (Entity): Negative emotion following perceived moral wrongdoing - **MoralPride** (Entity): Positive emotion following perceived moral achievement - **MoralShame** (Entity): Negative emotion about moral character or identity - **SelfEvaluation** (Process): Assessment of one's own moral actions and character - **MoralReflection** (Process): Deliberate consideration of moral aspects of behavior - **ConscienceListening** (Process): Attending to internal moral guidance - **MoralBehavior** (Process): Actions guided by moral considerations - **MoralAlignment** (State): Consistency between actions and moral values,
Moral,Moral Emotions and Responses,Moral Responses to Others and Empathetic Reactions,"In this scenario, a #MoralObserver experiences #EmpathicResponses and #MoralIndignation toward others' actions, feeling #MoralAdmiration for good deeds and #MoralDisgust for wrongdoing. The observer engages in #MoralSupport and #MoralCorrection while experiencing #VicariousEmotions and #MoralSympathy.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans experience moral emotions in response to others' actions, feeling empathy, admiration, or indignation based on perceived moral quality
- **Principle 2:** Universal: empathy, moral indignation, admiration; Cultural: specific emotional expression norms, moral response patterns
- **Principle 3:** Connects to Social domain (interpersonal responses), Emotional domain (empathetic feelings), Relational domain (moral relationships)",- **MoralObserver** (Entity): Person experiencing moral emotions in response to others' actions - **EmpathicResponses** (Process): Emotional reactions that mirror others' moral experiences - **MoralIndignation** (Entity): Anger or outrage in response to perceived moral wrongdoing - **MoralAdmiration** (Entity): Positive emotion toward morally praiseworthy actions - **MoralDisgust** (Entity): Negative emotion toward morally reprehensible actions - **MoralSupport** (Process): Providing encouragement for moral behavior - **MoralCorrection** (Process): Attempting to address or correct moral wrongdoing - **VicariousEmotions** (Entity): Emotions experienced on behalf of others - **MoralSympathy** (Entity): Compassionate response to others' moral struggles,
Moral,Moral Emotions and Responses,Moral Repair and Forgiveness Processes,"In this scenario, a #MoralRepairer engages in #MoralRepair and #ForgivenessProcesses following #MoralHarm or #MoralTransgressions. The repairer seeks #MoralReconciliation through #Atonement, #Remorse, and #MoralAmends while working toward #RelationshipRestoration and #MoralHealing.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans engage in processes of moral repair and forgiveness to restore relationships and heal moral injuries
- **Principle 2:** Universal: repair concepts, forgiveness processes; Cultural: specific reconciliation practices, atonement traditions
- **Principle 3:** Connects to Social domain (relationship repair), Temporal domain (healing over time), Restorative domain (making amends)",- **MoralRepairer** (Entity): Person working to repair moral harm and restore relationships - **MoralRepair** (Process): Actions taken to address and heal moral injuries - **ForgivenessProcesses** (Process): Systematic approaches to forgiveness and reconciliation - **MoralHarm** (Entity): Damage caused by moral wrongdoing - **MoralTransgressions** (Entity): Actions that violate moral standards - **MoralReconciliation** (Process): Restoration of moral relationships after wrongdoing - **Atonement** (Process): Making amends for moral wrongdoing - **Remorse** (Entity): Genuine regret and sorrow for moral harm caused - **MoralAmends** (Process): Specific actions to repair moral damage - **RelationshipRestoration** (Process): Rebuilding damaged relationships - **MoralHealing** (Process): Recovery from moral injury and restoration of moral harmony,
Moral,Moral Judgments and Evaluations,Ethical Assessment and Moral Reasoning,"In this scenario, a #MoralEvaluator engages in #EthicalAssessment of #MoralSituations by applying #MoralCriteria and #EthicalStandards through #MoralReasoning processes. The evaluator considers #MoralFactors, #EthicalContext, and #MoralConsequences to form #MoralJudgments and reach #EthicalConclusions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans systematically evaluate actions and situations using moral criteria and reasoning processes to determine ethical rightness or wrongness
- **Principle 2:** Universal: moral evaluation, harm/benefit assessment; Cultural: specific moral criteria, ethical reasoning traditions
- **Principle 3:** Connects to Cognitive domain (evaluative reasoning), Social domain (action assessment), Cultural domain (ethical systems)","- **MoralEvaluator** (Entity): Person making systematic moral assessments and ethical judgments - **EthicalAssessment** (Process): Systematic evaluation of moral dimensions of situations or actions - **MoralSituations** (Entity): Circumstances involving ethical considerations and moral choices - **MoralCriteria** (Entity): Standards used to judge moral rightness or wrongness - **EthicalStandards** (Entity): Principles that define morally acceptable behavior - **MoralReasoning** (Process): Cognitive processes used to evaluate ethical issues - **MoralFactors** (Entity): Elements that influence moral evaluation (intentions, consequences, context) - **EthicalContext** (State): Situational circumstances affecting moral evaluation - **MoralConsequences** (Entity): Outcomes and effects considered in moral evaluation - **MoralJudgments** (Entity): Conclusions about moral rightness or wrongness - **EthicalConclusions** (Entity): Final determinations reached through moral reasoning",
Moral,Moral Judgments and Evaluations,Moral Responsibility and Blame Attribution,"In this scenario, a #ResponsibilityAssessor evaluates #MoralResponsibility and #BlameAttribution for #MoralActions by examining #AgentIntentions, #CausalContribution, and #ControlFactors. The assessor considers #MitigatingCircumstances and #AggravatingFactors to determine #MoralAccountability and assign appropriate #MoralCredit or #MoralBlame.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans assess moral responsibility by evaluating intentions, causal contribution, and control factors to determine appropriate blame or praise
- **Principle 2:** Universal: responsibility concepts, intention-based evaluation; Cultural: specific responsibility norms, accountability systems
- **Principle 3:** Connects to Cognitive domain (causal reasoning), Legal domain (responsibility attribution), Social domain (accountability)",- **ResponsibilityAssessor** (Entity): Person evaluating moral responsibility and assigning blame or credit - **MoralResponsibility** (Entity): Degree to which someone is accountable for moral outcomes - **BlameAttribution** (Process): Assignment of moral responsibility for negative outcomes - **MoralActions** (Entity): Behaviors with moral significance requiring responsibility assessment - **AgentIntentions** (Entity): Purposes and motivations behind moral actions - **CausalContribution** (Quality): Degree to which an agent caused moral outcomes - **ControlFactors** (Entity): Elements affecting an agent's ability to control their actions - **MitigatingCircumstances** (Entity): Factors that reduce moral responsibility - **AggravatingFactors** (Entity): Factors that increase moral responsibility - **MoralAccountability** (State): Overall responsibility assigned to moral agents - **MoralCredit** (Entity): Positive moral responsibility for good outcomes - **MoralBlame** (Entity): Negative moral responsibility for harmful outcomes,
